author_full,journal,volume,year,pages,publisher,paperid,doi,author,url,type,title,journal_full,issue,page
"Ala Cojocaru, Juergen Carstensen, Johannes De Boor, Dong Sin Kim, Volker Schmidt, Helmut Föll,",unknown,,2011,,ECS,7828,10.1149/1.3553170,"A. Cojocaru, J. Carstensen, J. De Boor, D. Kim, V. Schmidt, H. Föll,",http://dx.doi.org/10.1149/1.3553170,paper-conference,Production and Investigation of Porous Si-Ge Structures for Thermoelectric Application,,,unknown
"N. G. Galkin, D. L. Goroshko, A. S. Gouralnik, V. O. Polyarnyi, I. V. Louchaninov, S. V. Vavanova,",e-J. Surf. Sci. Nanotech.,3,2005,97-106,Surface Science Society Japan,7833,10.1380/ejssnt.2005.97,"N. Galkin, D. Goroshko, A. Gouralnik, V. Polyarnyi, I. Louchaninov, S. Vavanova,",http://dx.doi.org/10.1380/ejssnt.2005.97,article-journal,Formation and transport properties of Si(111)/β-FeSi2/Si nanocluster structures,e-Journal of Surface Science and Nanotechnology,,97
"Lusheng Su, Yong X. Gan,",Electrochimica Acta,56,2011,5794-5803,Elsevier BV,7881,10.1016/j.electacta.2011.04.063,"L. Su, Y. Gan,",http://dx.doi.org/10.1016/j.electacta.2011.04.063,article-journal,Formation and thermoelectric property of TiO2 nanotubes covered by Te–Bi–Pb nanoparticles,Electrochimica Acta,16,5794
"S.T. Mane, P.C. Pingale, R.V. Suryawanshi, V.S. Karande, L.P. Deshmukh, M. Sharon,",Electrochimica Acta,114,2013,494-499,Elsevier BV,7886,10.1016/j.electacta.2013.09.108,"S. Mane, P. Pingale, R. Suryawanshi, V. Karande, L. Deshmukh, M. Sharon,",http://dx.doi.org/10.1016/j.electacta.2013.09.108,article-journal,On the surface morphology and transport properties of chemical bath deposited CoxCd1−xS thin films: A correlation,Electrochimica Acta,,494
"Taehoo Chang, Sungmee Cho, Jeongmin Kim, Jonathan Schoenleber, Cedric Frantz, Nicolas Stein, Clotilde Boulanger, Wooyoung Lee,",Electrochimica Acta,161,2015,403-407,Elsevier BV,7891,10.1016/j.electacta.2015.02.105,"T. Chang, S. Cho, J. Kim, J. Schoenleber, C. Frantz, N. Stein, C. Boulanger, W. Lee,",http://dx.doi.org/10.1016/j.electacta.2015.02.105,article-journal,Individual thermoelectric properties of electrodeposited bismuth telluride nanowires in polycarbonate membranes,Electrochimica Acta,,403
"Begoña Abad, Marta Rull-Bravo, Stephen L. Hodson, Xianfan Xu, Marisol Martin-Gonzalez,",Electrochimica Acta,169,2015,37-45,Elsevier BV,7892,10.1016/j.electacta.2015.04.063,"B. Abad, M. Rull-Bravo, S. Hodson, X. Xu, M. Martin-Gonzalez,",http://dx.doi.org/10.1016/j.electacta.2015.04.063,article-journal,Thermoelectric properties of electrodeposited tellurium films and the sodium lignosulfonate effect,Electrochimica Acta,,37
"Min-Young Kim, Byung-Kyu Yu, Tae-Sung Oh,",Electron. Mater. Lett.,8,2012,269-273,Springer Nature,7898,10.1007/s13391-012-1099-x,"M. Kim, B. Yu, T. Oh,",http://dx.doi.org/10.1007/s13391-012-1099-x,article-journal,Thermoelectric characteristics of the p-type (Bi0.2Sb0.8)2Te3 nanocomposites processed with SbTe nanowire dispersion,Electronic Materials Letters,3,269
"Hyunsung Jung, Hosik Park, Yongho Choa, Nosang V. Myung,",Electron. Mater. Lett.,8,2012,219-224,Springer Nature,7899,10.1007/s13391-012-2041-y,"H. Jung, H. Park, Y. Choa, N. Myung,",http://dx.doi.org/10.1007/s13391-012-2041-y,article-journal,Invited paper: Composition-dependent electrical properties of ternary AgxSb1−xTey thin films synthesized by cationic exchange reaction,Electronic Materials Letters,2,219
"J. W. Seo, J. S. Cha, K. Park,",Electron. Mater. Lett.,12,2016,113-120,Springer Nature,7904,10.1007/s13391-015-5198-3,"J. Seo, J. Cha, K. Park,",http://dx.doi.org/10.1007/s13391-015-5198-3,article-journal,Enhanced thermoelectric properties of Ca1-x Sm x Mn1-y W y O3-δ for power generation,Electronic Materials Letters,1,113
"Hyun Kim, Jae Ki Lee, Su-Dong Park, Byungki Ryu, Ji Eun Lee, Bong-Seo Kim, Bok-Ki Min, Sung-Jae Joo, Hee-Woong Lee, Young-Rae Cho,",Electron. Mater. Lett.,12,2016,290-295,Springer Nature,7906,10.1007/s13391-015-5390-5,"H. Kim, J. Lee, S. Park, B. Ryu, J. Lee, B. Kim, B. Min, S. Joo, H. Lee, Y. Cho,",http://dx.doi.org/10.1007/s13391-015-5390-5,article-journal,Enhanced thermoelectric properties and development of nanotwins in Na-doped Bi0.5Sb1.5Te3 alloy,Electronic Materials Letters,2,290
"Dewen Xie, Jingtao Xu, Guoqiang Liu, Zhu Liu, Hezhu Shao, Xiaojian Tan, Jun Jiang, Haochuan Jiang,",Energies,9,2016,,MDPI AG,7925,10.3390/en9040236,"D. Xie, J. Xu, G. Liu, Z. Liu, H. Shao, X. Tan, J. Jiang, H. Jiang,",http://dx.doi.org/10.3390/en9040236,article-journal,Synergistic Optimization of Thermoelectric Performance in P-Type Bi0.48Sb1.52Te3/Graphene Composite,Energies,4,236
"Alex Zevalkink, Eric S. Toberer, Wolfgang G. Zeier, Espen Flage-Larsen, G. Jeffrey Snyder,",Energy Environ. Sci.,4,2011,510-518,Royal Society of Chemistry (RSC),7957,10.1039/c0ee00517g,"A. Zevalkink, E. Toberer, W. Zeier, E. Flage-Larsen, G. Snyder,",http://dx.doi.org/10.1039/c0ee00517g,article-journal,"Ca3AlSb3: an inexpensive, non-toxic thermoelectric material for waste heat recovery",Energy Environ. Sci.,2,510
"Yanzhong Pei, Nicholas A. Heinz, Aaron LaLonde, G. Jeffrey Snyder,",Energy Environ. Sci.,4,2011,,Royal Society of Chemistry (RSC),7958,10.1039/c1ee01928g,"Y. Pei, N. Heinz, A. LaLonde, G. Snyder,",http://dx.doi.org/10.1039/c1ee01928g,article-journal,Combination of large nanostructures and complex band structure for high performance thermoelectric lead telluride,Energy & Environmental Science,9,3640
"Weiyun Zhao, Shufen Fan, Ni Xiao, Dayong Liu, Yee Yan Tay, Cui Yu, Daohao Sim, Huey Hoon Hng, Qichun Zhang, Freddy Boey, Jan Ma, Xinbing Zhao, Hua Zhang, Qingyu Yan,",Energy Environ. Sci.,5,2012,5364-5369,Royal Society of Chemistry (RSC),7959,10.1039/c1ee01931g,"W. Zhao, S. Fan, N. Xiao, D. Liu, Y. Tay, C. Yu, D. Sim, H. Hng, Q. Zhang, F. Boey, J. Ma, X. Zhao, H. Zhang, Q. Yan,",http://dx.doi.org/10.1039/c1ee01931g,article-journal,Flexible carbon nanotube papers with improved thermoelectric properties,Energy Environ. Sci.,1,5364
"Kanishka Biswas, Jiaqing He, Guoyu Wang, Shih-Han Lo, Ctirad Uher, Vinayak P. Dravid, Mercouri G. Kanatzidis,",Energy Environ. Sci.,4,2011,,Royal Society of Chemistry (RSC),7960,10.1039/c1ee02297k,"K. Biswas, J. He, G. Wang, S. Lo, C. Uher, V. Dravid, M. Kanatzidis,",http://dx.doi.org/10.1039/c1ee02297k,article-journal,"High thermoelectric figure of merit in nanostructured p-type PbTe–MTe (M = Ca, Ba)",Energy & Environmental Science,11,4675
"Qinyong Zhang, Hui Wang, Weishu Liu, Hengzhi Wang, Bo Yu, Qian Zhang, Zhiting Tian, George Ni, Sangyeop Lee, Keivan Esfarjani, Gang Chen, Zhifeng Ren,",Energy Environ. Sci.,5,2012,5246-5251,Royal Society of Chemistry (RSC),7962,10.1039/c1ee02465e,"Q. Zhang, H. Wang, W. Liu, H. Wang, B. Yu, Q. Zhang, Z. Tian, G. Ni, S. Lee, K. Esfarjani, G. Chen, Z. Ren,",http://dx.doi.org/10.1039/c1ee02465e,article-journal,Enhancement of thermoelectric figure-of-merit by resonant states of aluminium doping in lead selenide,Energy Environ. Sci.,1,5246
"Xiao Yan, Weishu Liu, Hui Wang, Shuo Chen, Junichiro Shiomi, Keivan Esfarjani, Hengzhi Wang, Dezhi Wang, Gang Chen, Zhifeng Ren,",Energy Environ. Sci.,5,2012,,Royal Society of Chemistry (RSC),7963,10.1039/c2ee21554c,"X. Yan, W. Liu, H. Wang, S. Chen, J. Shiomi, K. Esfarjani, H. Wang, D. Wang, G. Chen, Z. Ren,",http://dx.doi.org/10.1039/c2ee21554c,article-journal,Stronger phonon scattering by larger differences in atomic mass and size in p-type half-Heuslers Hf1−xTixCoSb0.8Sn0.2,Energy & Environmental Science,6,7543
"Jing Li, Jiehe Sui, Yanling Pei, Celine Barreteau, David Berardan, Nita Dragoe, Wei Cai, Jiaqing He, Li-Dong Zhao,",Energy Environ. Sci.,5,2012,,Royal Society of Chemistry (RSC),7964,10.1039/c2ee22622g,"J. Li, J. Sui, Y. Pei, C. Barreteau, D. Berardan, N. Dragoe, W. Cai, J. He, L. Zhao,",http://dx.doi.org/10.1039/c2ee22622g,article-journal,A high thermoelectric figure of merit ZT > 1 in Ba heavily doped BiCuSeO oxyselenides,Energy & Environmental Science,9,8543
"Weishu Liu, Kevin C. Lukas, Kenneth McEnaney, Sangyeop Lee, Qian Zhang, Cyril P. Opeil, Gang Chen, Zhifeng Ren,",Energy Environ. Sci.,6,2013,552-560,Royal Society of Chemistry (RSC),7968,10.1039/c2ee23549h,"W. Liu, K. Lukas, K. McEnaney, S. Lee, Q. Zhang, C. Opeil, G. Chen, Z. Ren,",http://dx.doi.org/10.1039/c2ee23549h,article-journal,Studies on the Bi2Te3–Bi2Se3–Bi2S3system for mid-temperature thermoelectric energy conversion,Energy Environ. Sci.,2,552
"Satya N. Guin, Arindom Chatterjee, Devendra Singh Negi, Ranjan Datta, Kanishka Biswas,",Energy Environ. Sci.,6,2013,,Royal Society of Chemistry (RSC),7973,10.1039/c3ee41935e,"S. Guin, A. Chatterjee, D. Negi, R. Datta, K. Biswas,",http://dx.doi.org/10.1039/c3ee41935e,article-journal,High thermoelectric performance in tellurium free p-type AgSbSe2,Energy & Environmental Science,9,2603
"L. D. Zhao, H. J. Wu, S. Q. Hao, C. I. Wu, X. Y. Zhou, K. Biswas, J. Q. He, T. P. Hogan, C. Uher, C. Wolverton, V. P. Dravid, M. G. Kanatzidis,",Energy Environ. Sci.,6,2013,,Royal Society of Chemistry (RSC),7974,10.1039/c3ee42187b,"L. Zhao, H. Wu, S. Hao, C. Wu, X. Zhou, K. Biswas, J. He, T. Hogan, C. Uher, C. Wolverton, V. Dravid, M. Kanatzidis,",http://dx.doi.org/10.1039/c3ee42187b,article-journal,All-scale hierarchical thermoelectrics: MgTe in PbTe facilitates valence band convergence and suppresses bipolar thermal transport for high performance,Energy & Environmental Science,11,3346
"Gangjian Tan, Fengyuan Shi, Jeff W. Doak, Hui Sun, Li-Dong Zhao, Pengli Wang, Ctirad Uher, Chris Wolverton, Vinayak P. Dravid, Mercouri G. Kanatzidis,",Energy Environ. Sci.,8,2015,267-277,Royal Society of Chemistry (RSC),7975,10.1039/c4ee01463d,"G. Tan, F. Shi, J. Doak, H. Sun, L. Zhao, P. Wang, C. Uher, C. Wolverton, V. Dravid, M. Kanatzidis,",http://dx.doi.org/10.1039/c4ee01463d,article-journal,Extraordinary role of Hg in enhancing the thermoelectric performance of p-type SnTe,Energy Environ. Sci.,1,267
"Giri Joshi, Ran He, Michael Engber, Georgy Samsonidze, Tej Pantha, Ekraj Dahal, Keshab Dahal, Jian Yang, Yucheng Lan, Boris Kozinsky, Zhifeng Ren,",Energy Environ. Sci.,7,2014,4070-4076,Royal Society of Chemistry (RSC),7976,10.1039/c4ee02180k,"G. Joshi, R. He, M. Engber, G. Samsonidze, T. Pantha, E. Dahal, K. Dahal, J. Yang, Y. Lan, B. Kozinsky, Z. Ren,",http://dx.doi.org/10.1039/c4ee02180k,article-journal,NbFeSb-based p-type half-Heuslers for power generation applications,Energy Environ. Sci.,12,4070
"Hyungyu Jin, Bartlomiej Wiendlocha, Joseph P. Heremans,",Energy Environ. Sci.,8,2015,2027-2040,Royal Society of Chemistry (RSC),7978,10.1039/c5ee01309g,"H. Jin, B. Wiendlocha, J. Heremans,",http://dx.doi.org/10.1039/c5ee01309g,article-journal,"P-type doping of elemental bismuth with indium, gallium and tin: a novel doping mechanism in solids",Energy Environ. Sci.,7,2027
